@relation delta_full_set
@attribute r1 NUMERIC
@attribute r2 NUMERIC
@attribute r3 NUMERIC
@attribute r4 NUMERIC
@attribute r5 NUMERIC
@attribute r6 NUMERIC
@attribute r7 NUMERIC
@attribute r8 NUMERIC
@attribute class {delta}

%all features for DELTA

@data
-0.97786974250216774, -0.2092146426489892, 0.8039517501168836, 0.181844722330526, 0.791394588331889, -0.99911726925835886, -0.042008121473352783, 1.022889524842734, delta
0.51737532116535345, -0.85575859741462579, 0.8487487358865403, 0.2201604334042504, 0.8428647975025414, 0.98267480437454469, 0.1853381473076991, 1.0350765717332764, delta
-0.99591476865647, -0.090298247889588984, 0.8238421542170563, 0.19707157295114494, 0.8226961455604371, -0.98201019217082264, -0.18882791761978393, 1.075172770411112, delta
-0.91223158589517372, 0.40967491221110447, 0.8026018179022522, 0.26334418795953135, 0.7990871759357673, 0.96977153849643438, 0.24401467808773064, 1.255235180528661, delta
-0.99836646050645039, -0.057135020222470877, 0.8075102830360739, 0.24976836114321171, 0.8073804274844667, -0.9691255489532582, -0.24656778047029143, 1.0554431480387536, delta
0.98159710530469069, 0.19096366894635211, 0.8747805927625509, 0.27270003698500533, 0.8706881603082701, 0.96757374040979938, 0.25258871089062984, 1.062217223941891, delta
-0.99999984447173618, 0.0005577243973634927, 0.8082286678094263, 0.15382743843513966, 0.8027951984466524, -0.99488014072006747, -0.10106188995273545, 1.2134360600463843, delta
0.10379252064528727, -0.99459897077068082, 0.7701728904940761, 0.23687844349252143, 0.7490127318677567, 0.9995370814767166, -0.030424048925276965, 1.4098209652364184, delta
0.93704538798174342, 0.34920758992631312, 0.8335826524544522, 0.22152402842523405, 0.8305896022904452, 0.97907919598014792, 0.2034795517954249, 1.0995521336709109, delta
-0.97861925729884514, -0.20568021111389526, 0.8627501594436247, 0.17978818666276597, 0.8627501594436247, -0.9838815915692295, -0.17882117819542531, 1.020013627930927, delta
0.99698272894573992, 0.077623696020643174, 0.7837441881054047, 0.24163434820186144, 0.7773763884206928, 0.97890161231419226, 0.20433216440070076, 1.0574306994579645, delta
-0.95690576246591852, 0.2903986256157543, 0.7972996457474442, 0.1899908933649131, 0.797063779170149, -0.98229654948711853, -0.18733256221410299, 0.9512527982530551, delta
0.97300932928736805, -0.23076577978492852, 0.7751964244815633, 0.20507966906868438, 0.7631263476017587, 0.99452993909216059, 0.10445190400056409, 1.2334986468301448, delta
-0.92780527963203141, -0.37306482424228671, 0.7645539315496324, 0.19392958261239968, 0.7554793617750255, -0.99304102528668259, -0.11776893519759048, 1.1273228146261058, delta
0.70710678118654746, -0.70710678118654746, 0.7274296738764511, 0.27247082076844864, 0.7006456585892757, 0.99992627002159717, 0.012143085303818975, 1.164442500647329, delta
-0.99681851303479863, -0.079704780729219049, 0.722026604995273, 0.20041189327598866, 0.7077496241369544, -0.99975326848507018, 0.022212657504651481, 0.9092771840874038, delta
-0.1855330534690455, 0.98263802392867561, 0.8947539019356106, 0.10469137924975636, 0.8901444123477944, -0.99967487034263236, -0.025498109840554607, 1.0712298009554144, delta
-0.28456552376960892, -0.95865659267629721, 0.8130204425683281, 0.18674553114865536, 0.8071539511301422, 0.98975542259495319, 0.14277325885433123, 1.2136452640739395, delta
-0.97995158122813075, -0.19923578606386524, 0.7711786113197124, 0.18555195070085326, 0.7711786113197124, -0.98283457149173392, -0.18448903783330756, 0.8745136162565562, delta
0.23432300556682215, -0.97215879827429996, 0.773206726448367, 0.2635543105693756, 0.7656092583459266, 0.97505090470405975, 0.22198138038086618, 1.2967837968364326, delta
-0.99462182482686368, -0.10357328602530572, 0.881641318253631, 0.21504654624464786, 0.880137727425089, -0.97863547165498666, -0.20560304866081536, 1.1420901185306405, delta
0.99479100055181968, 0.10193559349466551, 0.8765501626090774, 0.37296896821332426, 0.8303137160097983, 0.98310672732565962, 0.18303322836859723, 2.484781255956139, delta
-0.99113937798916496, -0.13282595152774726, 0.8100462706864343, 0.1371289648851934, 0.8064235392521724, -0.99506271945401714, -0.099248094957918101, 1.0955450550836237, delta
0.81996583810519741, -0.57241245998007528, 0.8319981017965125, 0.20573603279987082, 0.8145085523848107, 0.99993056870348984, 0.011783792781423694, 1.6178388755911988, delta
