eta_2
38.6816500000,-0.173018,0.207610,-0.116318,0.229164
38.6951600000,-0.088848,0.209475,-0.028983,0.231111
38.7097400000,-0.088891,0.209737,-0.028963,0.231108
38.7243300000,-0.089827,0.212085,-0.028942,0.230811
38.7400200000,-0.091010,0.215833,-0.028770,0.229853
38.7523600000,-0.090778,0.215887,-0.028455,0.229229
38.7666300000,-0.083512,0.215282,-0.021588,0.234416
38.7816100000,-0.072115,0.213824,-0.011265,0.232005
38.7951500000,-0.067935,0.213495,-0.009647,0.228985
38.8094600000,-0.058889,0.213800,-0.006529,0.225144
38.8235700000,-0.055769,0.213307,-0.004222,0.224336
38.8378900000,-0.048806,0.212877,0.002486,0.225347
38.8523300000,-0.038024,0.212898,0.015670,0.224465
38.8665400000,-0.032523,0.213311,0.021428,0.221900
38.8829900000,-0.025069,0.215229,0.028110,0.222479
38.8950400000,-0.021695,0.215107,0.034895,0.224799
38.9094900000,-0.012437,0.224032,0.040915,0.225864
38.9237000000,-0.010077,0.228075,0.047348,0.226406
38.9385400000,-0.010279,0.230721,0.058623,0.225911
38.9521800000,-0.006479,0.231291,0.061337,0.226218
38.9664900000,0.009219,0.232335,0.063311,0.226661
38.9818500000,0.034513,0.229440,0.080000,0.228232
38.9950400000,0.089395,0.217933,0.108150,0.229115
39.0100400000,0.096022,0.217929,0.122515,0.229294
39.0237000000,0.098306,0.217795,0.125920,0.229530
39.0380400000,0.104291,0.217629,0.134619,0.231538
39.0523500000,0.117517,0.219730,0.147490,0.229366
39.0665600000,0.126684,0.222637,0.157343,0.230543
39.0811900000,0.133158,0.224114,0.158213,0.230505
39.0952000000,0.141118,0.225888,0.158813,0.230197
39.1093100000,0.149247,0.226879,0.159897,0.229902
39.1240700000,0.152249,0.227209,0.168723,0.230812
39.1396300000,0.158286,0.227891,0.183188,0.231445
39.1522100000,0.158286,0.227891,0.183188,0.231445
39.1666200000,0.167415,0.229858,0.183373,0.232479
39.1824900000,0.176242,0.232028,0.181681,0.235995
39.1954000000,0.185264,0.232842,0.177400,0.239161
39.2107500000,0.194150,0.234627,0.174008,0.240632
39.2236000000,0.201762,0.235482,0.226131,0.241939
39.2379500000,0.211022,0.236411,0.226878,0.241562
39.2523200000,0.214409,0.236768,0.227581,0.242944
39.2664600000,0.220831,0.237439,0.229524,0.247038
39.2827500000,0.229869,0.238682,0.244184,0.249353
39.2951400000,0.233794,0.238929,0.249818,0.248949
39.3094600000,0.236989,0.239239,0.249915,0.248899
39.3236900000,0.244062,0.240206,0.249737,0.248766
39.3381400000,0.253545,0.241870,0.249108,0.248401
39.3521900000,0.260718,0.242891,0.249012,0.248223
39.3664200000,0.269032,0.245200,0.273636,0.252097
39.3808400000,0.273795,0.245622,0.274706,0.257144
39.3951300000,0.283208,0.246716,0.276790,0.258243
39.4101800000,0.290439,0.247850,0.290040,0.248349
39.4242000000,0.293841,0.248367,0.292771,0.249185
39.4380500000,0.356521,0.256701,0.371519,0.247681
39.4521400000,0.422434,0.269060,0.405745,0.245321
39.4666400000,0.448017,0.272092,0.432282,0.258969
39.4808000000,0.000119,0.000131,0.440698,0.265095
39.4950900000,0.466686,0.273827,0.446592,0.271643
39.5093600000,0.466735,0.273902,0.461223,0.267914
39.5236500000,0.466858,0.274044,0.466095,0.267433
39.5382000000,0.467278,0.274256,0.000178,0.000481
39.5556400000,0.467858,0.274422,0.000191,0.000527
39.5667500000,0.470667,0.274964,0.000190,0.000634
39.5812000000,0.475264,0.275426,0.000153,0.000663
39.5952200000,0.480221,0.276198,0.000114,0.000667
39.6094200000,0.485004,0.277034,0.000049,0.000706
39.6237800000,0.488394,0.277983,-0.000012,0.000767
39.6379900000,0.490091,0.278485,-0.000064,0.000817
39.6522900000,0.491985,0.278939,-0.000127,0.000812
39.6667500000,0.494848,0.279493,-0.000183,0.000731
39.6834400000,0.496225,0.279644,-0.000189,0.000699
39.6951200000,0.499842,0.279720,-0.000204,0.000513
39.7118300000,0.503205,0.279836,-0.000218,0.000259
39.7236400000,0.505945,0.279968,-0.000235,0.000150
39.7383200000,0.508806,0.280031,-0.000239,0.000067
39.7521600000,0.511055,0.279931,-0.000228,-0.000031
39.7665100000,0.513630,0.279780,-0.000181,-0.000152
39.7808000000,0.516299,0.280008,-0.000137,-0.000161
39.7952100000,0.517669,0.280426,-0.000096,-0.000055
39.8103600000,0.520082,0.280935,-0.000064,0.000074
39.8236000000,0.520082,0.280935,-0.000064,0.000074
39.8380200000,0.522846,0.281410,-0.000005,0.000144
39.8521400000,0.525516,0.281710,0.000046,0.000146
39.8665000000,0.528328,0.282060,0.000096,0.000145
39.8807700000,0.531248,0.282366,0.000199,0.000109
39.8951000000,0.533825,0.282915,0.000314,-0.000002
39.9094300000,0.536312,0.283564,0.000474,-0.000118
39.9237800000,0.537587,0.283952,0.000619,-0.000153
39.9380000000,0.539486,0.284621,0.000815,-0.000052
39.9523000000,0.540288,0.284935,0.000871,-0.000008
39.9672500000,0.541960,0.285636,0.001049,0.000198
39.9808500000,0.543370,0.286344,0.001180,0.000392
39.9952900000,0.544379,0.286912,0.001252,0.000549
40.0095100000,0.557255,0.291226,0.001326,0.000851
40.0235800000,0.565537,0.295199,0.001339,0.001080
40.0380500000,0.568607,0.296031,0.001370,0.001224
40.0522000000,0.569966,0.296282,0.001395,0.001266
40.0665000000,0.572171,0.296567,0.001442,0.001247
40.0821200000,0.573492,0.296780,0.001452,0.001163
40.0952500000,0.573964,0.296890,0.001444,0.001146
40.1093500000,0.574683,0.297114,0.001413,0.001176
