@relation gamma_full_set
@attribute r1 NUMERIC
@attribute r2 NUMERIC
@attribute r3 NUMERIC
@attribute r4 NUMERIC
@attribute r5 NUMERIC
@attribute r6 NUMERIC
@attribute r7 NUMERIC
@attribute r8 NUMERIC
@attribute class {gamma}

%all features for GAMMA

@data
-0.96752318291241812, -0.2527822986821337, 0.71480219903481, 0.14274601549618227, 0.7105563595838124, -0.99574367389297069, -0.092165806577761494, 0.9469382491473868, gamma
0.99570516009019638, -0.092580960082279451, 0.7547981044862262, 0.10417640320065817, 0.7544011387928838, 0.99510189128452742, 0.098854569757581404, 0.8623955548076561, gamma
-0.99577133333647638, -0.091866488478095268, 0.7270127613769928, 0.08000965611383348, 0.7263262083038173, -0.99774315137595648, -0.067146138253625892, 0.9761988474097684, gamma
0.92494084668633303, 0.38011107604379213, 0.6732418348216338, 0.1219118512858606, 0.6731507978647875, 0.99271218591681309, 0.12050940184177626, 0.7009339293314626, gamma
-0.99778573713659313, 0.066510320753890365, 0.671878249480514, 0.12938856328811157, 0.6717378416168021, -0.99184824603059074, -0.12742471050012524, 0.7195845129000177, gamma
0.97903867125272737, 0.20367444658497028, 0.6974261385587724, 0.14088621554619807, 0.6972294046725225, 0.99037131161202874, 0.13843650218013231, 0.7435842348590518, gamma
-0.99016267486731768, 0.13992096804839035, 0.7243540629554032, 0.15396070573249987, 0.7228699081439205, -0.99020030013130655, -0.13965445077000063, 0.827440037963171, gamma
0.97377764712367754, 0.2275018548545801, 0.7072116268529527, 0.18015551577800198, 0.7071098935505004, 0.9839573825031056, 0.1784036698547346, 0.7541189541042658, gamma
-0.99995645432737656, 0.0093321727920838721, 0.6845127257326923, 0.14370399231068623, 0.6844872570398954, -0.98972916300838354, -0.14295518140565872, 0.826352159746785, gamma
0.83809083653685157, -0.54553070464728226, 0.7202087437160146, 0.11227687482307781, 0.7188480748809166, 0.99558449832192653, 0.093869626083617611, 0.8122864295481951, gamma
-0.95024005204129336, -0.31151860858793007, 0.6941958711552525, 0.1122500732551512, 0.6923225424821873, -0.99639540484520406, -0.08483040258870532, 0.9156921639194286, gamma
-0.58395409233513984, -0.81178668259897124, 0.6905993443560455, 0.11054512651210187, 0.6892586732722339, 0.99582932593566587, 0.091235703573312232, 0.7761808138954108, gamma
-0.99990618696916367, 0.013697345026974296, 0.6527923644597875, 0.11684796072669759, 0.6524315132004279, -0.9937303561865638, -0.11180330582467053, 0.7253817053542285, gamma
0.99465451723446985, 0.10325885601275823, 0.6584501445584168, 0.16725294559496998, 0.6584501445584168, 0.98604580068157066, 0.1664742591460926, 0.7225983255121299, gamma
-0.98822426254878959, -0.15301244037626757, 0.6453740472230038, 0.1493473529125071, 0.6453740472230038, -0.98886839770840451, -0.14879278212874689, 0.6958262325520523, gamma
0.98742117511527527, 0.15811205815486895, 0.6138056506126349, 0.10665271017867817, 0.6125060327866167, 0.99642773675769003, 0.084449780461215762, 0.6736624433887954, gamma
-0.99495799986624578, 0.10029246483240814, 0.671611564263898, 0.08673317916885484, 0.6705464612224868, -0.99782347487178424, -0.065941739397725102, 0.7441426944845855, gamma
